"REF_DATE","GEO","DGUID","Population and dwelling counts (3)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","A1E","2021A0011A1E","Private dwellings occupied by usual residents, 2021","","0","units","0","","18.3","12833","","","","0"
"2021","A1G","2021A0011A1G","Population, 2021","","0","units","0","","19.1","5808","","","","0"
"2021","A1G","2021A0011A1G","Total private dwellings, 2021","","0","units","0","","19.2","2741","","","","0"
"2021","A1G","2021A0011A1G","Private dwellings occupied by usual residents, 2021","","0","units","0","","19.3","2544","","","","0"
"2021","A1H","2021A0011A1H","Population, 2021","","0","units","0","","20.1","6469","","","","0"
"2021","A1H","2021A0011A1H","Total private dwellings, 2021","","0","units","0","","20.2","2530","","","","0"
"2021","A1H","2021A0011A1H","Private dwellings occupied by usual residents, 2021","","0","units","0","","20.3","2439","","","","0"
"2021","A1K","2021A0011A1K","Population, 2021","","0","units","0","","21.1","12348","","","","0"
"2021","A1K","2021A0011A1K","Total private dwellings, 2021","","0","units","0","","21.2","4968","","","","0"
"2021","A1K","2021A0011A1K","Private dwellings occupied by usual residents, 2021","","0","units","0","","21.3","4670","","","","0"
"2021","A1L","2021A0011A1L","Population, 2021","","0","units","0","","22.1","22959","","","","0"
"2021","A1L","2021A0011A1L","Total private dwellings, 2021","","0","units","0","","22.2","9332","","","","0"
"2021","A1L","2021A0011A1L","Private dwellings occupied by usual residents, 2021","","0","units","0","","22.3","8814","","","","0"
"2021","A1M","2021A0011A1M","Population, 2021","","0","units","0","","23.1","8405","","","","0"
"2021","A1M","2021A0011A1M","Total private dwellings, 2021","","0","units","0","","23.2","3354","","","","0"
"2021","A1M","2021A0011A1M","Private dwellings occupied by usual residents, 2021","","0","units","0","","23.3","3167","","","","0"
"2021","A1N","2021A0011A1N","Population, 2021","","0","units","0","","24.1","22478","","","","0"
"2021","A1N","2021A0011A1N","Total private dwellings, 2021","","0","units","0","","24.2","10686","","","","0"
"2021","A1N","2021A0011A1N","Private dwellings occupied by usual residents, 2021","","0","units","0","","24.3","9932","","","","0"
"2021","A1S","2021A0011A1S","Population, 2021","","0","units","0","","25.1","6103","","","","0"
"2021","A1S","2021A0011A1S","Total private dwellings, 2021","","0","units","0","","25.2","2557","","","","0"
"2021","A1S","2021A0011A1S","Private dwellings occupied by usual residents, 2021","","0","units","0","","25.3","2433","","","","0"
"2021","A1V","2021A0011A1V","Population, 2021","","0","units","0","","26.1","11890","","","","0"
"2021","A1V","2021A0011A1V","Total private dwellings, 2021","","0","units","0","","26.2","5429","","","","0"
"2021","A1V","2021A0011A1V","Private dwellings occupied by usual residents, 2021","","0","units","0","","26.3","5073","","","","0"
"2021","A1W","2021A0011A1W","Population, 2021","","0","units","0","","27.1","11179","","","","0"
"2021","A1W","2021A0011A1W","Total private dwellings, 2021","","0","units","0","","27.2","4668","","","","0"
"2021","A1W","2021A0011A1W","Private dwellings occupied by usual residents, 2021","","0","units","0","","27.3","4431","","","","0"
"2021","A1X","2021A0011A1X","Population, 2021","","0","units","0","","28.1","15945","","","","0"
"2021","A1X","2021A0011A1X","Total private dwellings, 2021","","0","units","0","","28.2","6676","","","","0"
"2021","A1X","2021A0011A1X","Private dwellings occupied by usual residents, 2021","","0","units","0","","28.3","6260","","","","0"
"2021","A1Y","2021A0011A1Y","Population, 2021","","0","units","0","","29.1","5436","","","","0"
"2021","A1Y","2021A0011A1Y","Total private dwellings, 2021","","0","units","0","","29.2","2745","","","","0"
"2021","A1Y","2021A0011A1Y","Private dwellings occupied by usual residents, 2021","","0","units","0","","29.3","2429","","","","0"
"2021","A2A","2021A0011A2A","Population, 2021","","0","units","0","","30.1","9277","","","","0"
"2021","A2A","2021A0011A2A","Total private dwellings, 2021","","0","units","0","","30.2","4406","","","","0"
"2021","A2A","2021A0011A2A","Private dwellings occupied by usual residents, 2021","","0","units","0","","30.3","4091","","","","0"
"2021","A2B","2021A0011A2B","Population, 2021","","0","units","0","","31.1","4739","","","","0"
"2021","A2B","2021A0011A2B","Total private dwellings, 2021","","0","units","0","","31.2","2293","","","","0"
"2021","A2B","2021A0011A2B","Private dwellings occupied by usual residents, 2021","","0","units","0","","31.3","2099","","","","0"
"2021","A2H","2021A0011A2H","Population, 2021","","0","units","0","","32.1","25290","","","","0"
"2021","A2H","2021A0011A2H","Total private dwellings, 2021","","0","units","0","","32.2","12658","","","","0"
"2021","A2H","2021A0011A2H","Private dwellings occupied by usual residents, 2021","","0","units","0","","32.3","11325","","","","0"
"2021","A2N","2021A0011A2N","Population, 2021","","0","units","0","","33.1","8613","","","","0"
"2021","A2N","2021A0011A2N","Total private dwellings, 2021","","0","units","0","","33.2","4349","","","","0"
"2021","A2N","2021A0011A2N","Private dwellings occupied by usual residents, 2021","","0","units","0","","33.3","4052","","","","0"
"2021","A2V","2021A0011A2V","Population, 2021","","0","units","0","","34.1","7447","","","","0"
"2021","A2V","2021A0011A2V","Total private dwellings, 2021","","0","units","0","","34.2","3387","","","","0"
"2021","A2V","2021A0011A2V","Private dwellings occupied by usual residents, 2021","","0","units","0","","34.3","3089","","","","0"
"2021","A5A","2021A0011A5A","Population, 2021","","0","units","0","","35.1","8436","","","","0"
"2021","A5A","2021A0011A5A","Total private dwellings, 2021","","0","units","0","","35.2","4161","","","","0"
"2021","A5A","2021A0011A5A","Private dwellings occupied by usual residents, 2021","","0","units","0","","35.3","3575","","","","0"
"2021","A8A","2021A0011A8A","Population, 2021","","0","units","0","","36.1","6475","","","","0"
"2021","A8A","2021A0011A8A","Total private dwellings, 2021","","0","units","0","","36.2","4039","","","","0"
"2021","A8A","2021A0011A8A","Private dwellings occupied by usual residents, 2021","","0","units","0","","36.3","2863","","","","0"
